method,epoch,dataset,timestamp,train_loss,train_acc,train_acc_top5,train_f1_macro,train_prec_macro,train_rec_macro,train_acc_up,test_loss,test_acc,test_acc_top5,test_f1_macro,test_prec_macro,test_rec_macro,test_acc_up
OURS,36.0,MARC-generic,2020-07-07 08:15:14.487052,1.350017899249828,0.8966270896095457,0.9698151101659873,0.8923452470367621,0.9011332427066436,0.8906370120911997,1.0,1.2380424721165555,0.7604218985434456,0.8970366649924661,0.7431679586353968,0.773335063175462,0.7459825872476475,1.0
OURS,37.0,MARC-generic,2020-07-07 08:16:17.070340,1.3495040414985267,0.8984582668793195,0.9715281469667435,0.8940786906398801,0.9023946885633687,0.8927349443876041,1.0,1.214153639279916,0.7629331993972878,0.8977900552486188,0.7457512960330912,0.77935978587073,0.7469867259023886,1.0
OURS,38.0,MARC-generic,2020-07-07 08:17:19.697798,1.3298019543549802,0.8999940929765491,0.9715872172012523,0.8972003804118903,0.9046961898884563,0.8959304061075374,1.0,1.2099176099227338,0.7604218985434456,0.9018081366147664,0.7430181017485161,0.7726435637536632,0.7460271878946578,0.0
OURS,39.0,MARC-generic,2020-07-07 08:18:21.996721,1.3368178444848338,0.9049559926752909,0.9728276921259378,0.9014678314676471,0.9099011108392211,0.8992315668383551,1.0,1.2083223444142575,0.7636865896534405,0.9005524861878453,0.7459437727597974,0.7743371130867645,0.7474812001920436,1.0
OURS,40.0,MARC-generic,2020-07-07 08:19:24.668829,1.3054326972674688,0.9040699391576584,0.9726504814224113,0.90022440660542,0.908414731816217,0.8983652111428122,0.0,1.192009796244843,0.7702159718734304,0.9010547463586137,0.7545762713271812,0.780825099722043,0.7565776091378501,1.0
OURS,41.0,MARC-generic,2020-07-07 08:20:27.229717,1.3121440557363473,0.9078504341662237,0.9738909563470967,0.9040012190991228,0.9114975886698553,0.9025075157397934,1.0,1.183241146763984,0.7684580612757408,0.9040683073832245,0.750280681565363,0.7761646148428571,0.7529126886054598,0.0
OURS,42.0,MARC-generic,2020-07-07 08:21:29.610275,1.2994078379864884,0.9095634709669798,0.9756039931478528,0.9060622102572712,0.9130368681849338,0.9045356187606428,1.0,1.166164243927797,0.7724761426418885,0.9030637870416875,0.7558504610407011,0.7834642432533999,0.7589291843809916,1.0
OURS,43.0,MARC-generic,2020-07-07 08:22:32.291080,1.2920580511993354,0.9113946482367535,0.9761946954929411,0.9081068349550842,0.9150391803577398,0.9066441623659867,1.0,1.1637140615449846,0.7722250125565042,0.9053239578101456,0.7554860038805505,0.7803356872279622,0.7585621317549028,0.0
OURS,44.0,MARC-generic,2020-07-07 08:23:34.745506,1.2699899606143064,0.9140528087896509,0.9754858526788351,0.9106769850147922,0.917369833322916,0.9092889665998728,1.0,1.1565691095569635,0.7754897036664993,0.9063284781516826,0.7593927236010855,0.7879346309581958,0.761612740227198,1.0
OURS,45.0,MARC-generic,2020-07-07 08:24:37.183193,1.2790547774598409,0.9133439659755449,0.9758993443203969,0.9099269225337459,0.9172883110759976,0.9081697130618017,0.0,1.1524630422450861,0.7749874434957308,0.9048216976393771,0.7565044956405861,0.7816340533695246,0.7597789648994469,0.0
OURS,46.0,MARC-generic,2020-07-07 08:25:39.572553,1.2629478034579371,0.917892374032725,0.9774351704176265,0.914793081167108,0.9209295492764952,0.9132939550469232,1.0,1.1408537132305334,0.7739829231541939,0.907835258663988,0.757277859040102,0.7838797442563902,0.7607661582059173,0.0
OURS,47.0,MARC-generic,2020-07-07 08:26:41.816632,1.2552703835395373,0.9168881800460748,0.9776714513556619,0.9135884929438391,0.9206272097831653,0.9118486935512605,0.0,1.1424305424625583,0.7772476142641889,0.9063284781516826,0.7625120265231279,0.7869104909051848,0.764768169135639,1.0
OURS,48.0,MARC-generic,2020-07-07 08:27:44.645694,1.248933291800003,0.917833303798216,0.9777305215901707,0.9151019895788564,0.9219065767314459,0.9137184082830563,0.0,1.1456381026851898,0.7744851833249623,0.9020592667001507,0.7583611566391709,0.7833075127945788,0.761838774790582,0.0
OURS,49.0,MARC-generic,2020-07-07 08:28:47.598188,1.2373789055812618,0.9207868155236576,0.978321223935259,0.9177623435803087,0.9237731199975822,0.9161328469021128,1.0,1.1397735501341577,0.7722250125565042,0.9063284781516826,0.7560030084330251,0.7803100568027925,0.7591494906253943,0.0
OURS,50.0,MARC-generic,2020-07-07 08:29:50.220721,1.2352312332599822,0.9197826215370075,0.9788528560458385,0.9164658228708281,0.9232316134722046,0.9145480207129089,0.0,1.1324248397128778,0.7722250125565042,0.9075841285786037,0.7565002479598106,0.7802208437086183,0.7577815368478019,0.0
OURS,51.0,MARC-generic,2020-07-07 08:30:53.148865,1.2443628191483183,0.9235040463110639,0.9787937858113297,0.9199861575079369,0.9257481027225661,0.9185231339009168,1.0,1.127832193161482,0.7782521346057257,0.9083375188347564,0.7631343958578065,0.7878819719321752,0.7656271105066286,1.0
OURS,52.0,MARC-generic,2020-07-07 08:31:55.201161,1.2173947293954575,0.9217910095103078,0.9796207690944533,0.9188576355672146,0.9241093315054614,0.9177817152857856,0.0,1.119360843880101,0.7815168257157208,0.9098442993470618,0.7671974473043504,0.7931169854124832,0.7684757121504109,1.0
OURS,53.0,MARC-generic,2020-07-07 08:32:57.989343,1.2261526159305314,0.9233859058420462,0.9799161202669975,0.920798550554879,0.9267845426910212,0.919150735972625,0.0,1.1189366527264708,0.7805123053741838,0.9065796082370668,0.7662683563508409,0.7933984724167127,0.7675745104961972,0.0
OURS,54.0,MARC-generic,2020-07-07 08:34:00.407416,1.2086105016282154,0.9252170831118199,0.9808612440191388,0.9222064757198428,0.9280158466869198,0.9210917293994811,1.0,1.1188995747755426,0.7767453540934204,0.9060773480662984,0.7635163090821117,0.7910050604710046,0.7645826953055869,0.0
