method,epoch,dataset,timestamp,train_loss,train_acc,train_acc_top5,train_f1_macro,train_prec_macro,train_rec_macro,train_acc_up,test_loss,test_acc,test_acc_top5,test_f1_macro,test_prec_macro,test_rec_macro,test_acc_up
OURS,41.0,MARC-specific,2020-07-05 16:23:33.942846,0.09267933094081907,1.0,1.0,1.0,1.0,1.0,0.0,0.24623846990106513,0.9626998223801065,0.9887507400828893,0.9495808654606653,0.9566470449840017,0.9514413410663409,0.0
OURS,42.0,MARC-specific,2020-07-05 16:23:39.699223,0.09142693950744045,1.0,1.0,1.0,1.0,1.0,0.0,0.2518702029052608,0.9656601539372409,0.9875666074600356,0.9545595356648257,0.962477392977393,0.9558857855107855,0.0
OURS,43.0,MARC-specific,2020-07-05 16:23:45.497868,0.0895425934896558,1.0,1.0,1.0,1.0,1.0,0.0,0.24607874545703773,0.9632918886915335,0.9875666074600356,0.9508997603409637,0.9553625920862764,0.9530339336589336,0.0
OURS,44.0,MARC-specific,2020-07-05 16:23:51.345672,0.08860116378454792,1.0,1.0,1.0,1.0,1.0,0.0,0.24370094646780782,0.9638839550029603,0.9887507400828893,0.952777821277848,0.9588265993265994,0.9544228225478226,0.0
OURS,45.0,MARC-specific,2020-07-05 16:23:57.102583,0.08941138551783923,1.0,1.0,1.0,1.0,1.0,0.0,0.2519073850167016,0.9638839550029603,0.9887507400828893,0.9503364896955993,0.9572756734006733,0.9521080077330077,0.0
OURS,46.0,MARC-specific,2020-07-05 16:24:02.846741,0.09318512096421507,1.0,1.0,1.0,1.0,1.0,0.0,0.2553506808001449,0.9638839550029603,0.9863824748371818,0.949307045161696,0.9564986772486772,0.9518117114367114,0.0
OURS,47.0,MARC-specific,2020-07-05 16:24:08.638012,0.09086830827085124,1.0,1.0,1.0,1.0,1.0,0.0,0.2523386412079056,0.9632918886915335,0.9869745411486086,0.9494186313384995,0.9553504088504089,0.9529413410663411,0.0
OURS,48.0,MARC-specific,2020-07-05 16:24:14.482072,0.08848099173197828,1.0,1.0,1.0,1.0,1.0,0.0,0.2555956635127906,0.9644760213143873,0.9869745411486086,0.9516071507222447,0.9587922793792358,0.953867266992267,0.0
OURS,49.0,MARC-specific,2020-07-05 16:24:20.312212,0.08818699654200114,1.0,1.0,1.0,1.0,1.0,0.0,0.25296369837260657,0.9638839550029603,0.9881586737714624,0.9516520912573814,0.9581934546934547,0.9534968966218967,0.0
OURS,50.0,MARC-specific,2020-07-05 16:24:26.147046,0.08801300482652609,1.0,1.0,1.0,1.0,1.0,0.0,0.25630970751836923,0.9638839550029603,0.9893428063943162,0.9501066404970968,0.9577287873157437,0.9530339336589339,0.0
OURS,51.0,MARC-specific,2020-07-05 16:24:31.945321,0.08772663479687048,1.0,1.0,1.0,1.0,1.0,0.0,0.249718428399169,0.9638839550029603,0.9875666074600356,0.9508551687669603,0.9555903078403079,0.9533348595848595,0.0
OURS,52.0,MARC-specific,2020-07-05 16:24:37.721929,0.08784144846659617,1.0,1.0,1.0,1.0,1.0,0.0,0.25021835542275683,0.9632918886915335,0.9869745411486086,0.951171861610485,0.9585661375661376,0.9523857855107857,0.0
OURS,53.0,MARC-specific,2020-07-05 16:24:43.586612,0.08653169158607846,1.0,1.0,1.0,1.0,1.0,0.0,0.25150068828592365,0.9650680876258141,0.9881586737714624,0.9550094074161681,0.9605116041366042,0.9560154151404151,0.0
OURS,54.0,MARC-specific,2020-07-05 16:24:49.442495,0.0862284892938291,1.0,1.0,1.0,1.0,1.0,0.0,0.2536988463396148,0.9650680876258141,0.9869745411486086,0.9555227721187745,0.9597587782587781,0.9569598595848595,0.0
OURS,55.0,MARC-specific,2020-07-05 16:24:55.321750,0.08577894210355606,1.0,1.0,1.0,1.0,1.0,0.0,0.252763099311159,0.9638839550029603,0.9869745411486086,0.953092598348043,0.9573700096200095,0.9545947802197803,0.0
OURS,56.0,MARC-specific,2020-07-05 16:25:01.195750,0.0863618539776192,1.0,1.0,1.0,1.0,1.0,0.0,0.25191484692535715,0.9609236234458259,0.9869745411486086,0.9484021139729668,0.9552873218399536,0.9498070818070817,0.0
OURS,57.0,MARC-specific,2020-07-05 16:25:06.998149,0.08717648057989735,1.0,1.0,1.0,1.0,1.0,0.0,0.25269524210511474,0.9626998223801065,0.9869745411486086,0.9523732449423857,0.95829329004329,0.9537515262515263,0.0
