class,classifier,precision,recall,f1_score,support
13436,Approach2_Step4,1.0,1.0,1.0,3.0
14452,Approach2_Step4,1.0,1.0,1.0,3.0
14470,Approach2_Step4,1.0,1.0,1.0,3.0
14814,Approach2_Step4,1.0,0.83,0.91,6.0
14918,Approach2_Step4,1.0,1.0,1.0,2.0
15566,Approach2_Step4,1.0,1.0,1.0,5.0
16464,Approach2_Step4,0.67,0.5,0.57,4.0
16931,Approach2_Step4,0.75,1.0,0.86,3.0
18190,Approach2_Step4,1.0,1.0,1.0,5.0
18426,Approach2_Step4,1.0,1.0,1.0,5.0
18564,Approach2_Step4,1.0,1.0,1.0,7.0
18623,Approach2_Step4,1.0,1.0,1.0,2.0
18768,Approach2_Step4,0.83,1.0,0.91,5.0
19082,Approach2_Step4,1.0,1.0,1.0,6.0
19285,Approach2_Step4,1.0,1.0,1.0,4.0
19293,Approach2_Step4,1.0,1.0,1.0,3.0
19378,Approach2_Step4,1.0,1.0,1.0,6.0
19531,Approach2_Step4,1.0,1.0,1.0,2.0
19565,Approach2_Step4,0.75,1.0,0.86,3.0
19665,Approach2_Step4,0.75,1.0,0.86,3.0
19709,Approach2_Step4,1.0,1.0,1.0,6.0
19755,Approach2_Step4,1.0,1.0,1.0,7.0
19807,Approach2_Step4,1.0,0.75,0.86,4.0
19857,Approach2_Step4,1.0,1.0,1.0,3.0
20104,Approach2_Step4,0.67,0.67,0.67,3.0
22142,Approach2_Step4,1.0,1.0,1.0,5.0
25406,Approach2_Step4,1.0,1.0,1.0,3.0
25459,Approach2_Step4,1.0,1.0,1.0,2.0
26856,Approach2_Step4,1.0,1.0,1.0,2.0
28375,Approach2_Step4,1.0,1.0,1.0,4.0
28399,Approach2_Step4,1.0,1.0,1.0,3.0
28406,Approach2_Step4,1.0,1.0,1.0,3.0
29105,Approach2_Step4,1.0,1.0,1.0,7.0
30006,Approach2_Step4,1.0,1.0,1.0,2.0
32389,Approach2_Step4,0.67,0.67,0.67,3.0
33495,Approach2_Step4,1.0,1.0,1.0,3.0
33782,Approach2_Step4,1.0,1.0,1.0,2.0
33834,Approach2_Step4,1.0,0.67,0.8,3.0
36075,Approach2_Step4,1.0,1.0,1.0,3.0
36712,Approach2_Step4,0.75,1.0,0.86,3.0
37398,Approach2_Step4,1.0,1.0,1.0,2.0
38089,Approach2_Step4,1.0,1.0,1.0,3.0
38364,Approach2_Step4,1.0,1.0,1.0,5.0
38481,Approach2_Step4,1.0,1.0,1.0,4.0
38515,Approach2_Step4,1.0,1.0,1.0,5.0
38546,Approach2_Step4,1.0,1.0,1.0,5.0
38681,Approach2_Step4,1.0,1.0,1.0,3.0
38818,Approach2_Step4,1.0,1.0,1.0,3.0
39016,Approach2_Step4,1.0,1.0,1.0,3.0
39547,Approach2_Step4,1.0,1.0,1.0,2.0
39557,Approach2_Step4,1.0,1.0,1.0,4.0
39561,Approach2_Step4,1.0,1.0,1.0,3.0
39613,Approach2_Step4,1.0,1.0,1.0,6.0
39622,Approach2_Step4,1.0,1.0,1.0,3.0
39628,Approach2_Step4,1.0,0.75,0.86,4.0
39631,Approach2_Step4,0.0,0.0,0.0,3.0
39648,Approach2_Step4,1.0,1.0,1.0,8.0
39723,Approach2_Step4,1.0,1.0,1.0,4.0
41577,Approach2_Step4,0.75,1.0,0.86,3.0
45244,Approach2_Step4,1.0,1.0,1.0,3.0
