method,epoch,dataset,timestamp,train_loss,train_acc,train_acc_top5,train_f1_macro,train_prec_macro,train_rec_macro,train_acc_up,test_loss,test_acc,test_acc_top5,test_f1_macro,test_prec_macro,test_rec_macro,test_acc_up
OURS,24.0,MARC-geo_only,2020-07-05 18:41:39.360727,1.078315639076065,0.9355742296918768,0.9831932773109243,0.9238598624695987,0.9359821230511216,0.9227269795031702,1.0,0.8083073341640933,0.853448275862069,0.9551724137931035,0.8242859463676288,0.849694016403861,0.8323710831482852,0.0
OURS,25.0,MARC-geo_only,2020-07-05 18:41:43.131568,1.07184319755658,0.9419767907162865,0.985594237695078,0.9300921523389214,0.939433113173503,0.9298218054740609,1.0,0.7865932666022202,0.8620689655172413,0.9482758620689655,0.8257354095665587,0.841837322148203,0.8400197384653343,1.0
OURS,26.0,MARC-geo_only,2020-07-05 18:41:46.887775,1.0133018880522027,0.9391756702681072,0.985594237695078,0.9269129566874416,0.9370393956740135,0.9266936679022765,0.0,0.7713311223120525,0.8586206896551725,0.9603448275862069,0.8255271837106644,0.847744469117526,0.8348383913150753,0.0
OURS,27.0,MARC-geo_only,2020-07-05 18:41:50.692700,1.0005089230015547,0.9427771108443377,0.9871948779511804,0.9323068450792905,0.9405505448324148,0.9318482560412876,1.0,0.7492093845688064,0.8689655172413793,0.9603448275862069,0.8395645948754757,0.8672403158154455,0.8469282013323464,1.0
OURS,28.0,MARC-geo_only,2020-07-05 18:41:54.455982,0.9327692974324511,0.9463785514205683,0.9883953581432573,0.9365857152210895,0.9433460542552415,0.9365627595245642,1.0,0.727569245264448,0.8706896551724138,0.9534482758620689,0.8364808335015589,0.8478534418948928,0.8521095484826055,1.0
OURS,29.0,MARC-geo_only,2020-07-05 18:41:58.281452,0.9356480236290072,0.9531812725090036,0.9879951980792316,0.945885928835345,0.9563752388508961,0.9441517218796289,1.0,0.7151273843543283,0.8724137931034482,0.9551724137931035,0.8433545297534936,0.863849823176248,0.8512459906242289,1.0
OURS,30.0,MARC-geo_only,2020-07-05 18:42:02.009065,0.9114984686539715,0.9519807923169268,0.9879951980792316,0.9447524997164045,0.9567255358806394,0.9432581095100298,0.0,0.7299795001745224,0.8689655172413793,0.9551724137931035,0.8406387205533807,0.8639408518942198,0.8492104613866273,0.0
OURS,31.0,MARC-geo_only,2020-07-05 18:42:05.802157,0.9002845707346125,0.9559823929571829,0.9879951980792316,0.9501134497377143,0.9602340959124886,0.9482320750348542,1.0,0.6972771670283943,0.8741379310344828,0.9620689655172414,0.8441491920995121,0.8649004852372728,0.8529731063409819,1.0
OURS,32.0,MARC-geo_only,2020-07-05 18:42:09.559176,0.8526441361389908,0.9555822328931572,0.9879951980792316,0.948346989866211,0.9555761641977486,0.9488363612653687,0.0,0.6829322876601384,0.8862068965517241,0.9568965517241379,0.8624267263096888,0.8817460317460318,0.8706760424377005,1.0
OURS,33.0,MARC-geo_only,2020-07-05 18:42:13.360358,0.8352824875763675,0.9563825530212084,0.9895958383353342,0.9510512943599951,0.9606181676222986,0.9489152710037212,1.0,0.6895780830547728,0.8724137931034482,0.9603448275862069,0.8419721698600089,0.8571454739848523,0.8530964717493216,0.0
