method,epoch,dataset,timestamp,train_loss,train_acc,train_acc_top5,train_f1_macro,train_prec_macro,train_rec_macro,train_acc_up,test_loss,test_acc,test_acc_top5,test_f1_macro,test_prec_macro,test_rec_macro,test_acc_up
OURS,30.0,MARC-geo_only,2020-07-05 15:42:05.558487,0.38815421537067757,0.9643201542912246,0.9898746383799422,0.9470905576472027,0.9546856235925467,0.9477896017295313,1.0,0.34277779442661255,0.9378330373001776,0.9792776791000593,0.9161516632251253,0.9229917353601562,0.9195485625485624,1.0
OURS,31.0,MARC-geo_only,2020-07-05 15:42:10.227321,0.3766081995210706,0.9633558341369335,0.9900353584056574,0.945223828557158,0.9464937149958977,0.9478806553339971,0.0,0.3489317595429361,0.9372409709887507,0.9804618117229129,0.9151962549579231,0.922232196996903,0.9194529174529174,0.0
OURS,32.0,MARC-geo_only,2020-07-05 15:42:14.497782,0.3730684480878633,0.9649630343940855,0.989713918354227,0.9506243072039916,0.9587196363334864,0.9516847363466536,1.0,0.3426915533695085,0.9366489046773239,0.9792776791000593,0.9164884666716003,0.923628356440377,0.9190288924038924,0.0
OURS,33.0,MARC-geo_only,2020-07-05 15:42:19.050975,0.35493847916494875,0.9636772741883639,0.9893924783027965,0.9502204310006702,0.9575655618419711,0.9508934191676304,0.0,0.33738626690571516,0.9384251036116045,0.9792776791000593,0.9201412989175182,0.9277333162480222,0.921559977059977,1.0
OURS,34.0,MARC-geo_only,2020-07-05 15:42:23.304907,0.35614311227611467,0.9665702346512376,0.989713918354227,0.9521146032192824,0.9547596045991305,0.9548196061649122,1.0,0.33297012800151177,0.9402013025458852,0.9816459443457667,0.9183423939447944,0.924907014611349,0.9241433103933104,1.0
OURS,35.0,MARC-geo_only,2020-07-05 15:42:28.180414,0.36207224450207953,0.9641594342655094,0.9879459980713597,0.9501866725952266,0.9560282573631097,0.9522977491275239,0.0,0.332517127213639,0.9366489046773239,0.9786856127886323,0.9153660227237469,0.9223610251404369,0.9197451622451622,0.0
OURS,36.0,MARC-geo_only,2020-07-05 15:42:32.400308,0.35462601944128824,0.9651237544198007,0.9908389585342333,0.9503566517301159,0.9579805558513108,0.952396810524173,0.0,0.3328775786097195,0.9402013025458852,0.9804618117229129,0.9182454463845947,0.9256379122154984,0.9224250564250565,0.0
OURS,37.0,MARC-geo_only,2020-07-05 15:42:36.772740,0.3399483486123884,0.9675345548055287,0.9898746383799422,0.9517345863870778,0.9560911169916424,0.9535423673736544,1.0,0.3230010725959227,0.9437537004144464,0.9786856127886323,0.9214521932542662,0.926743835112256,0.9258591223591225,1.0
OURS,38.0,MARC-geo_only,2020-07-05 15:42:40.957812,0.34518959903230395,0.9680167148826744,0.9900353584056574,0.9517909657281064,0.9580940066478324,0.9534562579797826,1.0,0.3245283746204128,0.9425695677915926,0.9798697454114861,0.9189196583618756,0.9262975172975174,0.9232583897583898,0.0
OURS,39.0,MARC-geo_only,2020-07-05 15:42:45.178706,0.3269695347191168,0.9678559948569592,0.989713918354227,0.9517889968555419,0.9556662187481898,0.9536504846856163,0.0,0.3225828408136249,0.9419775014801658,0.9792776791000593,0.9216303745222039,0.9292786831618101,0.9242266437266438,0.0
