class,classifier,precision,recall,f1_score,support
10208,Approach2_Step2,1.0,1.0,1.0,7.0
10238,Approach2_Step2,1.0,1.0,1.0,11.0
10271,Approach2_Step2,1.0,1.0,1.0,2.0
10333,Approach2_Step2,1.0,1.0,1.0,9.0
10428,Approach2_Step2,1.0,1.0,1.0,2.0
10537,Approach2_Step2,1.0,1.0,1.0,3.0
10557,Approach2_Step2,0.5,0.25,0.33,4.0
10587,Approach2_Step2,1.0,1.0,1.0,3.0
10617,Approach2_Step2,1.0,1.0,1.0,5.0
10852,Approach2_Step2,0.75,1.0,0.86,3.0
10889,Approach2_Step2,1.0,0.5,0.67,2.0
10902,Approach2_Step2,0.67,1.0,0.8,2.0
10947,Approach2_Step2,1.0,1.0,1.0,13.0
11271,Approach2_Step2,1.0,1.0,1.0,2.0
11300,Approach2_Step2,1.0,1.0,1.0,8.0
11333,Approach2_Step2,1.0,1.0,1.0,3.0
11361,Approach2_Step2,1.0,1.0,1.0,4.0
11527,Approach2_Step2,1.0,1.0,1.0,4.0
11530,Approach2_Step2,1.0,1.0,1.0,10.0
11549,Approach2_Step2,1.0,1.0,1.0,6.0
11581,Approach2_Step2,1.0,1.0,1.0,2.0
11587,Approach2_Step2,1.0,1.0,1.0,3.0
11592,Approach2_Step2,1.0,0.8,0.89,5.0
11595,Approach2_Step2,1.0,1.0,1.0,2.0
11692,Approach2_Step2,1.0,1.0,1.0,6.0
11743,Approach2_Step2,1.0,1.0,1.0,2.0
11756,Approach2_Step2,1.0,1.0,1.0,2.0
11765,Approach2_Step2,1.0,1.0,1.0,3.0
11841,Approach2_Step2,1.0,1.0,1.0,2.0
11931,Approach2_Step2,1.0,1.0,1.0,5.0
11996,Approach2_Step2,1.0,0.67,0.8,3.0
12043,Approach2_Step2,1.0,1.0,1.0,3.0
12815,Approach2_Step2,1.0,1.0,1.0,2.0
12882,Approach2_Step2,1.0,1.0,1.0,2.0
12900,Approach2_Step2,1.0,1.0,1.0,10.0
13039,Approach2_Step2,1.0,1.0,1.0,3.0
13119,Approach2_Step2,1.0,1.0,1.0,3.0
