class,classifier,precision,recall,f1_score,support
49804,RF,1.0,1.0,1.0,2.0
49918,RF,1.0,1.0,1.0,4.0
56524,RF,1.0,1.0,1.0,3.0
57158,RF,1.0,1.0,1.0,3.0
59959,RF,1.0,1.0,1.0,2.0
69144,RF,1.0,1.0,1.0,2.0
69181,RF,1.0,0.5,0.67,2.0
69729,RF,1.0,0.67,0.8,3.0
71244,RF,0.27,1.0,0.43,3.0
82947,RF,1.0,0.67,0.8,3.0
84943,RF,1.0,0.67,0.8,3.0
87275,RF,1.0,1.0,1.0,2.0
89850,RF,1.0,0.75,0.86,4.0
89958,RF,1.0,1.0,1.0,3.0
90754,RF,1.0,1.0,1.0,2.0
100174,RF,1.0,1.0,1.0,6.0
100470,RF,1.0,1.0,1.0,2.0
101542,RF,1.0,1.0,1.0,3.0
102640,RF,1.0,1.0,1.0,2.0
102829,RF,1.0,0.67,0.8,3.0
102869,RF,1.0,1.0,1.0,3.0
103387,RF,1.0,1.0,1.0,5.0
103549,RF,1.0,1.0,1.0,3.0
103737,RF,0.67,1.0,0.8,4.0
103840,RF,1.0,1.0,1.0,2.0
103924,RF,1.0,1.0,1.0,6.0
104139,RF,1.0,1.0,1.0,2.0
104312,RF,1.0,1.0,1.0,6.0
104758,RF,1.0,1.0,1.0,2.0
104769,RF,1.0,1.0,1.0,3.0
104921,RF,1.0,1.0,1.0,2.0
105825,RF,1.0,1.0,1.0,3.0
106123,RF,1.0,1.0,1.0,5.0
106154,RF,1.0,1.0,1.0,4.0
106163,RF,1.0,1.0,1.0,3.0
106541,RF,1.0,1.0,1.0,4.0
107009,RF,1.0,1.0,1.0,3.0
107182,RF,1.0,1.0,1.0,3.0
107206,RF,1.0,0.5,0.67,2.0
107623,RF,1.0,1.0,1.0,2.0
108117,RF,1.0,1.0,1.0,4.0
108131,RF,1.0,1.0,1.0,4.0
108841,RF,1.0,1.0,1.0,3.0
109625,RF,1.0,1.0,1.0,5.0
110523,RF,0.44,0.67,0.53,6.0
110953,RF,1.0,1.0,1.0,2.0
110975,RF,0.75,1.0,0.86,3.0
111979,RF,1.0,0.5,0.67,2.0
113194,RF,1.0,1.0,1.0,5.0
113411,RF,1.0,1.0,1.0,5.0
116441,RF,1.0,1.0,1.0,4.0
118449,RF,1.0,1.0,1.0,2.0
119314,RF,1.0,1.0,1.0,3.0
119425,RF,1.0,1.0,1.0,2.0
119431,RF,1.0,0.8,0.89,5.0
121146,RF,1.0,1.0,1.0,2.0
121970,RF,1.0,1.0,1.0,2.0
122357,RF,1.0,0.33,0.5,3.0
124101,RF,1.0,1.0,1.0,3.0
124512,RF,1.0,1.0,1.0,3.0
124522,RF,1.0,1.0,1.0,3.0
124727,RF,1.0,1.0,1.0,4.0
124868,RF,1.0,1.0,1.0,2.0
125164,RF,1.0,1.0,1.0,2.0
126312,RF,0.33,0.5,0.4,2.0
128114,RF,1.0,1.0,1.0,4.0
128268,RF,1.0,1.0,1.0,4.0
129273,RF,1.0,1.0,1.0,2.0
129893,RF,1.0,0.67,0.8,3.0
132468,RF,1.0,1.0,1.0,4.0
133891,RF,1.0,0.67,0.8,3.0
136385,RF,1.0,0.75,0.86,4.0
139378,RF,1.0,1.0,1.0,3.0
142661,RF,1.0,1.0,1.0,4.0
148505,RF,0.67,1.0,0.8,2.0
149121,RF,1.0,1.0,1.0,3.0
153026,RF,1.0,1.0,1.0,2.0
157210,RF,1.0,1.0,1.0,2.0
168955,RF,1.0,0.5,0.67,2.0
