method,epoch,dataset,timestamp,train_loss,train_acc,train_acc_top5,train_f1_macro,train_prec_macro,train_rec_macro,train_acc_up,test_loss,test_acc,test_acc_top5,test_f1_macro,test_prec_macro,test_rec_macro,test_acc_up
OURS,11.0,MARC-specific,2020-07-05 17:29:42.013930,0.4218762427985352,0.9966232513265798,0.9992764109985528,0.9959521169938534,0.9968420035836959,0.9955388978975938,1.0,0.5842082475265606,0.9180050718512257,0.9619611158072696,0.8987129003657136,0.9159617604617605,0.9020066137566137,1.0
OURS,12.0,MARC-specific,2020-07-05 17:29:46.621021,0.34013773931493174,0.9980704293294742,0.9997588036661843,0.9976113246979916,0.9979727095516568,0.9975235690235691,1.0,0.5619436226854462,0.9171597633136095,0.9602704987320372,0.8989274488318102,0.9157219817219817,0.903228835978836,0.0
OURS,13.0,MARC-specific,2020-07-05 17:29:51.164084,0.2886782519436665,0.9987940183309214,1.0,0.998708295151493,0.999234283625731,0.9983358585858586,1.0,0.5161702939240689,0.9213863060016906,0.9619611158072696,0.9056703681134627,0.9227394179894179,0.9072288359788362,1.0
OURS,14.0,MARC-specific,2020-07-05 17:29:55.718428,0.2466053825268927,0.9992764109985528,1.0,0.9990536060357033,0.9991764132553604,0.9990555555555557,1.0,0.4996610212305896,0.9230769230769231,0.9628064243448858,0.9072279327189813,0.9265396825396824,0.9096494708994709,1.0
OURS,15.0,MARC-specific,2020-07-05 17:30:00.313229,0.21858150623756736,1.0,1.0,1.0,1.0,1.0,1.0,0.47555704930024134,0.9273034657650042,0.9636517328825022,0.9130503902179092,0.9304956709956711,0.9137050264550264,1.0
OURS,16.0,MARC-specific,2020-07-05 17:30:04.932362,0.19183406281229728,1.0,1.0,1.0,1.0,1.0,0.0,0.4714184691113934,0.9298393913778529,0.9644970414201184,0.9174929519561367,0.9333184223184222,0.9183716931216931,1.0
OURS,17.0,MARC-specific,2020-07-05 17:30:09.471171,0.17371677624190193,1.0,1.0,1.0,1.0,1.0,0.0,0.46896157416870105,0.9273034657650042,0.9619611158072696,0.9142423006466619,0.9320771728271731,0.9150198412698414,0.0
OURS,18.0,MARC-specific,2020-07-05 17:30:14.037895,0.1638955862782051,1.0,1.0,1.0,1.0,1.0,0.0,0.4484743337357135,0.9332206255283179,0.967032967032967,0.9203096499640113,0.935517797017797,0.9214272486772488,1.0
OURS,19.0,MARC-specific,2020-07-05 17:30:18.550293,0.1511059538845388,1.0,1.0,1.0,1.0,1.0,0.0,0.4461265698339812,0.9289940828402367,0.9687235841081995,0.9153774971731627,0.9305111832611832,0.9171494708994711,0.0
OURS,20.0,MARC-specific,2020-07-05 17:30:23.125870,0.1388155721951037,1.0,1.0,1.0,1.0,1.0,0.0,0.4361735112769868,0.9315300084530854,0.9653423499577346,0.9202546776458811,0.9362330447330447,0.9208716931216931,0.0
OURS,21.0,MARC-specific,2020-07-05 17:30:27.674724,0.13110366623958297,1.0,1.0,1.0,1.0,1.0,0.0,0.4341734302114453,0.9289940828402367,0.9678782755705833,0.9159470093366648,0.9305803270803271,0.9177050264550265,0.0
OURS,22.0,MARC-specific,2020-07-05 17:30:32.233123,0.1282141452185267,1.0,1.0,1.0,1.0,1.0,0.0,0.4376558353108868,0.9306846999154691,0.967032967032967,0.9179462225990358,0.9333898508898509,0.9192050264550264,0.0
OURS,23.0,MARC-specific,2020-07-05 17:30:36.859780,0.12578205529957995,1.0,1.0,1.0,1.0,1.0,0.0,0.4245246341696052,0.9332206255283179,0.967032967032967,0.9224244546066799,0.9390274170274169,0.9227050264550265,0.0
OURS,24.0,MARC-specific,2020-07-05 17:30:41.448932,0.1189792324783028,1.0,1.0,1.0,1.0,1.0,0.0,0.42285167173319516,0.9323753169907016,0.9678782755705833,0.9197026453701646,0.9321213323713323,0.9225383597883599,0.0
OURS,25.0,MARC-specific,2020-07-05 17:30:46.037825,0.11343549088441515,1.0,1.0,1.0,1.0,1.0,0.0,0.4194671452196594,0.9332206255283179,0.967032967032967,0.920366749784269,0.9337222222222222,0.9219828042328043,0.0
OURS,26.0,MARC-specific,2020-07-05 17:30:50.628956,0.11322805801567339,1.0,1.0,1.0,1.0,1.0,0.0,0.4218426250544828,0.9323753169907016,0.9695688926458157,0.9201763420954093,0.9353471620971622,0.9211494708994711,0.0
