method,epoch,dataset,timestamp,train_loss,train_acc,train_acc_top5,train_f1_macro,train_prec_macro,train_rec_macro,train_acc_up,test_loss,test_acc,test_acc_top5,test_f1_macro,test_prec_macro,test_rec_macro,test_acc_up
OURS,57.0,MARC-specific,2020-07-06 16:28:36.092451,0.0828446071015992,1.0,1.0,1.0,1.0,1.0,0.0,0.13960260625447776,0.991210447011552,0.9949773982923155,0.9895256112113365,0.9913848088546885,0.9896753737115183,0.0
OURS,58.0,MARC-specific,2020-07-06 16:30:11.836281,0.08255085880336763,1.0,1.0,1.0,1.0,1.0,0.0,0.14437892087391427,0.9902059266700151,0.9942240080361627,0.9881702429111585,0.9899559331788248,0.9886767906346221,0.0
OURS,59.0,MARC-specific,2020-07-06 16:31:48.271336,0.08250047760063917,1.0,1.0,1.0,1.0,1.0,0.0,0.1397696243517666,0.9907081868407835,0.9949773982923155,0.9887013631326974,0.9907216444867046,0.9888578679241329,0.0
OURS,60.0,MARC-specific,2020-07-06 16:33:24.958883,0.08237570620599251,1.0,1.0,1.0,1.0,1.0,0.0,0.14066862398014782,0.9899547965846308,0.9949773982923155,0.9873187218415527,0.9895790510248342,0.9874925665588316,0.0
OURS,61.0,MARC-specific,2020-07-06 16:35:00.488615,0.08303171733906001,1.0,1.0,1.0,1.0,1.0,0.0,0.14735066760864646,0.9897036664992466,0.9939728779507785,0.9870005448678845,0.9888832162928548,0.987556508640846,0.0
OURS,62.0,MARC-specific,2020-07-06 16:36:36.653841,0.08249634739951815,1.0,1.0,1.0,1.0,1.0,0.0,0.14335233673251255,0.9894525364138623,0.9949773982923155,0.9871952397351544,0.9897741537801779,0.9872529634577828,0.0
OURS,63.0,MARC-specific,2020-07-06 16:38:12.665622,0.0825643221798696,1.0,1.0,1.0,1.0,1.0,0.0,0.14356454115291745,0.9904570567553993,0.9942240080361627,0.9886573408372248,0.990458442717479,0.9887885430054105,0.0
OURS,64.0,MARC-specific,2020-07-06 16:39:49.481663,0.08288179319317804,1.0,1.0,1.0,1.0,1.0,0.0,0.14747657494395897,0.9907081868407835,0.9937217478653942,0.9888644553453974,0.9907837477114585,0.989030536620898,0.0
OURS,65.0,MARC-specific,2020-07-06 16:41:26.247874,0.08284373832358775,1.0,1.0,1.0,1.0,1.0,0.0,0.14238873715753353,0.9902059266700151,0.9947262682069312,0.9884670140242612,0.9903085647061551,0.9887868768892866,0.0
OURS,66.0,MARC-specific,2020-07-06 16:43:02.402554,0.08300726773400295,1.0,1.0,1.0,1.0,1.0,0.0,0.14733530260296937,0.9902059266700151,0.9942240080361627,0.9881850827260992,0.9898895727208982,0.9887270415884875,0.0
OURS,67.0,MARC-specific,2020-07-06 16:44:39.058040,0.08262858797590705,1.0,1.0,1.0,1.0,1.0,0.0,0.14518483003319838,0.9914615770969362,0.9952285283776996,0.9902780195816158,0.991936025821568,0.990437925528287,1.0
OURS,68.0,MARC-specific,2020-07-06 16:46:15.540122,0.08276211961173456,1.0,1.0,1.0,1.0,1.0,0.0,0.14661679134364106,0.9904570567553993,0.994475138121547,0.9890780922396265,0.9909375151845031,0.9892291945002789,0.0
OURS,69.0,MARC-specific,2020-07-06 16:47:52.430045,0.08382466865505525,1.0,1.0,1.0,1.0,1.0,0.0,0.14121586477289483,0.9902059266700151,0.9942240080361627,0.9884981397817613,0.9900279327990171,0.988969425264606,0.0
OURS,70.0,MARC-specific,2020-07-06 16:49:28.371884,0.0826868214568298,1.0,1.0,1.0,1.0,1.0,0.0,0.14114683743758993,0.9904570567553993,0.994475138121547,0.989177457024996,0.9907639270591078,0.9894465864345382,0.0
OURS,71.0,MARC-specific,2020-07-06 16:51:04.666910,0.08226373275096407,1.0,1.0,1.0,1.0,1.0,0.0,0.14283086984062363,0.9902059266700151,0.994475138121547,0.988621114899048,0.9903088823269546,0.9889445784024097,0.0
OURS,72.0,MARC-specific,2020-07-06 16:52:41.073409,0.08225508864624191,1.0,1.0,1.0,1.0,1.0,0.0,0.14570627334966904,0.9907081868407835,0.9939728779507785,0.9891224264037364,0.9907071788095884,0.9896529675144133,0.0
OURS,73.0,MARC-specific,2020-07-06 16:54:17.409025,0.08224225912318606,1.0,1.0,1.0,1.0,1.0,0.0,0.1443341138717938,0.9902059266700151,0.9939728779507785,0.9882384413559607,0.9903199879103494,0.9884577827348912,0.0
OURS,74.0,MARC-specific,2020-07-06 16:55:53.517693,0.08207063713145697,1.0,1.0,1.0,1.0,1.0,0.0,0.14133668989916054,0.9894525364138623,0.9942240080361627,0.9876509929687683,0.9893730767224742,0.9882839995791803,0.0
OURS,75.0,MARC-specific,2020-07-06 16:57:29.894959,0.08216331518429072,1.0,1.0,1.0,1.0,1.0,0.0,0.14278255140344323,0.9899547965846308,0.9947262682069312,0.9883374212803575,0.9900770748662315,0.9886712629182508,0.0
OURS,76.0,MARC-specific,2020-07-06 16:59:06.884309,0.08212698759597264,1.0,1.0,1.0,1.0,1.0,0.0,0.14473163912429216,0.9904570567553993,0.9949773982923155,0.9889893800849726,0.9908739631631198,0.9891438603788001,0.0
OURS,77.0,MARC-specific,2020-07-06 17:00:43.584050,0.08215794998154918,1.0,1.0,1.0,1.0,1.0,0.0,0.14241368320196612,0.9904570567553993,0.9952285283776996,0.988514069129411,0.990239579697411,0.988856346687672,0.0
OURS,78.0,MARC-specific,2020-07-06 17:02:19.967947,0.08269635302564948,1.0,1.0,1.0,1.0,1.0,0.0,0.1462431830797945,0.9892014063284782,0.994475138121547,0.9878072136323285,0.9904232648208552,0.9873612610058393,0.0
OURS,79.0,MARC-specific,2020-07-06 17:03:56.142093,0.08970841111051853,1.0,1.0,1.0,1.0,1.0,0.0,0.14387742013098426,0.9884480160723255,0.9952285283776996,0.9862471403500253,0.9894112079353042,0.9858282168523133,0.0
OURS,80.0,MARC-specific,2020-07-06 17:05:33.995475,0.08468071117902987,1.0,1.0,1.0,1.0,1.0,0.0,0.14466305560184925,0.9902059266700151,0.994475138121547,0.9881316791543944,0.9901947171525485,0.9882393264923386,0.0
OURS,81.0,MARC-specific,2020-07-06 17:07:13.995810,0.08336696034870918,1.0,1.0,1.0,1.0,1.0,0.0,0.14368789869073886,0.9904570567553993,0.9947262682069312,0.9886403841929998,0.9906256338485254,0.988765507139001,0.0
OURS,82.0,MARC-specific,2020-07-06 17:08:53.753790,0.08287724143240624,1.0,1.0,1.0,1.0,1.0,0.0,0.14596402341250136,0.9904570567553993,0.9947262682069312,0.9884402624374155,0.9901261389213196,0.9888919369341057,0.0
OURS,83.0,MARC-specific,2020-07-06 17:10:32.600647,0.08268022374523687,1.0,1.0,1.0,1.0,1.0,0.0,0.14930519728445635,0.9881968859869412,0.9947262682069312,0.9863551901788156,0.9884224989646676,0.9866290893399328,0.0
OURS,84.0,MARC-specific,2020-07-06 17:12:11.616537,0.08265620943294638,1.0,1.0,1.0,1.0,1.0,0.0,0.14588297382259058,0.9886991461577097,0.9949773982923155,0.9869193950235469,0.9888025907604221,0.9873277938036975,0.0
OURS,85.0,MARC-specific,2020-07-06 17:13:49.793167,0.08248693972405262,1.0,1.0,1.0,1.0,1.0,0.0,0.14470937572296153,0.9892014063284782,0.9949773982923155,0.9863925380850223,0.9880383505383504,0.9872816496310473,0.0
