method,epoch,dataset,timestamp,train_loss,train_acc,train_acc_top5,train_f1_macro,train_prec_macro,train_rec_macro,train_acc_up,test_loss,test_acc,test_acc_top5,test_f1_macro,test_prec_macro,test_rec_macro,test_acc_up
OURS,19.0,MARC-geo_only,2020-07-05 16:45:49.304379,1.2621331698715796,0.8704296160877514,0.9577239488117002,0.8534950913140805,0.884652513286843,0.8540165274821421,1.0,1.0079929164424148,0.8090241343126967,0.9202518363064008,0.7667427544267068,0.7883121693121692,0.780781746031746,1.0
OURS,20.0,MARC-geo_only,2020-07-05 16:45:52.078796,1.2079371147443434,0.8704296160877514,0.9609232175502742,0.8541263417744767,0.8809615706987916,0.8543060553675389,0.0,0.9982056210573923,0.8079748163693599,0.9171038824763903,0.7648205610179294,0.785212962962963,0.7802539682539682,0.0
OURS,21.0,MARC-geo_only,2020-07-05 16:45:54.829144,1.1740677206346277,0.879798903107861,0.9641224862888482,0.8641199182406929,0.8917563436412377,0.8649077960285685,1.0,0.9672325625624761,0.8237145855194123,0.9265477439664218,0.7846828046680988,0.808824555074555,0.798781746031746,1.0
OURS,22.0,MARC-geo_only,2020-07-05 16:45:57.588947,1.1367469525860259,0.8804844606946983,0.9652650822669104,0.8647495432775837,0.8923601294903968,0.8650529078192479,1.0,0.9490350850731729,0.8153200419727177,0.9265477439664218,0.7734335381680583,0.7892732175232174,0.7884007936507936,0.0
OURS,23.0,MARC-geo_only,2020-07-05 16:46:00.360647,1.0941323070247169,0.8820840950639853,0.9680073126142597,0.8675187082053717,0.8969209302078188,0.8673090119042132,1.0,0.9340983907548478,0.8205666316894019,0.9317943336831059,0.7848730082458153,0.8040342897842898,0.7973134920634921,0.0
OURS,24.0,MARC-geo_only,2020-07-05 16:46:03.103764,1.0920642878063418,0.8903107861060329,0.9689213893967094,0.8765681509182479,0.9005390878832512,0.8762545164151987,1.0,0.9161771468951094,0.8226652675760755,0.9296956977964324,0.7841236699030817,0.8024003126503125,0.798952380952381,0.0
OURS,25.0,MARC-geo_only,2020-07-05 16:46:05.859872,1.0651827510139842,0.8925959780621572,0.9709780621572212,0.8781877918178208,0.9046103653297727,0.877720105789356,1.0,0.9014115094012753,0.8195173137460651,0.9307450157397692,0.7781326609905154,0.7956466866466867,0.7922301587301587,0.0
OURS,26.0,MARC-geo_only,2020-07-05 16:46:08.638394,1.0314366366353287,0.8996800731261426,0.9730347349177331,0.8876379312623502,0.9089013462007993,0.8866034440716332,1.0,0.8931069302158616,0.8279118572927597,0.9317943336831059,0.7940254045060547,0.8198658008658009,0.8039523809523811,1.0
OURS,27.0,MARC-geo_only,2020-07-05 16:46:11.430673,1.0082984525281289,0.9005941499085923,0.9730347349177331,0.8894399692154377,0.9108715552322552,0.8892995320179143,1.0,0.8743634922556962,0.832109129066107,0.938090241343127,0.800841812985776,0.8265995670995671,0.8115039682539682,1.0
OURS,28.0,MARC-geo_only,2020-07-05 16:46:14.209608,0.9827838175039623,0.9049360146252285,0.9757769652650823,0.8969593242791234,0.9183490913279196,0.8944726435449991,1.0,0.8708298964365332,0.8247639034627492,0.938090241343127,0.7850439762622424,0.8032092352092353,0.7996706349206348,0.0
OURS,29.0,MARC-geo_only,2020-07-05 16:46:16.976072,0.9728954202296312,0.9074497257769653,0.9762340036563071,0.8964314400980818,0.9158160306029176,0.8949486086214532,1.0,0.8589757851013231,0.8373557187827911,0.9349422875131165,0.8067021810319023,0.834094017094017,0.8165039682539682,1.0
OURS,30.0,MARC-geo_only,2020-07-05 16:46:19.724991,0.9777425292205113,0.9143053016453382,0.9792047531992687,0.9065199067046744,0.9226635580484494,0.9052936204911695,1.0,0.8340902662477363,0.8415529905561385,0.9412381951731374,0.8071855279796456,0.8289427609427609,0.8176746031746032,1.0
OURS,31.0,MARC-geo_only,2020-07-05 16:46:22.470256,0.934752793155161,0.9097349177330896,0.9789762340036563,0.8991528216546804,0.9202883775465953,0.8981741498150403,0.0,0.8484469868578915,0.8300104931794333,0.938090241343127,0.7977076763965308,0.8250448810448812,0.8072301587301588,0.0
OURS,32.0,MARC-geo_only,2020-07-05 16:46:25.219198,0.9127417050942207,0.9165904936014625,0.9803473491773309,0.9089989138293951,0.9277659432811375,0.9078038195055408,1.0,0.8310695720244304,0.8310598111227702,0.9412381951731374,0.8024401938790483,0.8286310818810818,0.8113928571428571,0.0
OURS,33.0,MARC-geo_only,2020-07-05 16:46:27.988672,0.9191589970039493,0.9202468007312614,0.9812614259597806,0.9109554107827234,0.9250159772223393,0.9100854128676078,1.0,0.8261752492608454,0.8342077649527807,0.938090241343127,0.802597697681289,0.828494227994228,0.8133055555555556,0.0
OURS,34.0,MARC-geo_only,2020-07-05 16:46:30.724310,0.8962991061114742,0.9234460694698354,0.9828610603290676,0.9180424761265332,0.936878400813826,0.9154031917649068,1.0,0.8140748284546051,0.8405036726128017,0.9391395592864638,0.8125631167227949,0.8380289802789803,0.8203373015873016,0.0
OURS,35.0,MARC-geo_only,2020-07-05 16:46:33.494294,0.8597511892126944,0.9259597806215722,0.9830895795246801,0.9193424296458417,0.9346931191794514,0.9185835796014252,1.0,0.7982579648557264,0.8457502623294858,0.944386149003148,0.8209218194659371,0.8473606301106301,0.8274999999999999,1.0
OURS,36.0,MARC-geo_only,2020-07-05 16:46:36.271181,0.8691738356837843,0.9257312614259597,0.9826325411334552,0.9194682235576912,0.937921034754861,0.9178439355795759,0.0,0.806252613272772,0.8394543546694648,0.9422875131164743,0.8083677945297948,0.831577922077922,0.8205039682539682,0.0
OURS,37.0,MARC-geo_only,2020-07-05 16:46:39.050394,0.8574232585469374,0.9307586837294333,0.9856032906764168,0.9246025381975581,0.9409824015793788,0.9219392318954605,1.0,0.7838660146482094,0.838405036726128,0.944386149003148,0.8044138317399186,0.8264036796536797,0.8157539682539682,0.0
OURS,38.0,MARC-geo_only,2020-07-05 16:46:41.823121,0.8282728275825598,0.9330438756855576,0.9858318098720292,0.9271788310644816,0.9427554369713166,0.9248894211562652,1.0,0.7762191993617311,0.8478488982161595,0.9454354669464848,0.8244654279042825,0.851275974025974,0.8302579365079366,1.0
OURS,39.0,MARC-geo_only,2020-07-05 16:46:44.584326,0.7912224245681623,0.9364716636197441,0.9872029250457038,0.931052095930997,0.943084604544589,0.9295707059366415,1.0,0.7712700779765751,0.8530954879328436,0.9475341028331584,0.8259480134015738,0.8504135401635402,0.8314563492063493,1.0
OURS,40.0,MARC-geo_only,2020-07-05 16:46:47.358462,0.813563247921262,0.93327239488117,0.9867458866544789,0.926425610313851,0.9389276742087673,0.9266470606821673,0.0,0.773518251784826,0.8478488982161595,0.9496327387198321,0.821313816357934,0.8455162337662337,0.8307579365079365,0.0
OURS,41.0,MARC-geo_only,2020-07-05 16:46:50.134029,0.7838213861097584,0.94172760511883,0.9878884826325411,0.9362378117143385,0.9502215148914991,0.9342482809469637,1.0,0.7629220122930761,0.8520461699895068,0.9464847848898216,0.8219828907475966,0.844716810966811,0.8308134920634921,0.0
