class,classifier,precision,recall,f1_score,support
13853,RF,1.0,1.0,1.0,4.0
13916,RF,1.0,1.0,1.0,3.0
14196,RF,1.0,0.5,0.67,4.0
14356,RF,1.0,1.0,1.0,3.0
15018,RF,1.0,1.0,1.0,7.0
15310,RF,1.0,1.0,1.0,3.0
16118,RF,1.0,1.0,1.0,11.0
16586,RF,1.0,1.0,1.0,3.0
16751,RF,1.0,1.0,1.0,4.0
16821,RF,0.0,0.0,0.0,2.0
17065,RF,1.0,1.0,1.0,2.0
17076,RF,1.0,1.0,1.0,5.0
17213,RF,1.0,1.0,1.0,7.0
17227,RF,1.0,1.0,1.0,2.0
17372,RF,1.0,1.0,1.0,2.0
17453,RF,1.0,1.0,1.0,3.0
17672,RF,1.0,1.0,1.0,4.0
17793,RF,1.0,1.0,1.0,4.0
18243,RF,1.0,1.0,1.0,4.0
18398,RF,1.0,1.0,1.0,4.0
18432,RF,1.0,1.0,1.0,2.0
18841,RF,1.0,1.0,1.0,13.0
19440,RF,1.0,1.0,1.0,7.0
19930,RF,1.0,1.0,1.0,3.0
20249,RF,1.0,1.0,1.0,2.0
20599,RF,1.0,1.0,1.0,7.0
21586,RF,1.0,1.0,1.0,2.0
21699,RF,1.0,1.0,1.0,4.0
22121,RF,1.0,1.0,1.0,2.0
22705,RF,1.0,1.0,1.0,3.0
22820,RF,1.0,1.0,1.0,2.0
22955,RF,1.0,1.0,1.0,2.0
23351,RF,1.0,1.0,1.0,6.0
23796,RF,1.0,1.0,1.0,13.0
24244,RF,1.0,1.0,1.0,4.0
24707,RF,1.0,1.0,1.0,4.0
26004,RF,1.0,1.0,1.0,5.0
26066,RF,1.0,1.0,1.0,2.0
26208,RF,1.0,1.0,1.0,4.0
26295,RF,1.0,1.0,1.0,3.0
26408,RF,1.0,1.0,1.0,3.0
26755,RF,0.83,1.0,0.91,5.0
26998,RF,1.0,0.67,0.8,3.0
27250,RF,0.0,0.0,0.0,2.0
27534,RF,1.0,0.88,0.93,8.0
29561,RF,1.0,1.0,1.0,3.0
29598,RF,1.0,1.0,1.0,2.0
29673,RF,1.0,1.0,1.0,2.0
29854,RF,1.0,0.67,0.8,3.0
30186,RF,1.0,1.0,1.0,3.0
30623,RF,1.0,1.0,1.0,3.0
31068,RF,0.86,1.0,0.92,6.0
32046,RF,1.0,1.0,1.0,6.0
33575,RF,1.0,1.0,1.0,2.0
33732,RF,1.0,1.0,1.0,5.0
34007,RF,1.0,1.0,1.0,2.0
34478,RF,0.0,0.0,0.0,2.0
35566,RF,0.9,1.0,0.95,9.0
35752,RF,1.0,1.0,1.0,6.0
36545,RF,0.0,0.0,0.0,4.0
36555,RF,1.0,0.67,0.8,3.0
36660,RF,1.0,1.0,1.0,2.0
36697,RF,1.0,1.0,1.0,6.0
37293,RF,1.0,1.0,1.0,3.0
38768,RF,1.0,1.0,1.0,5.0
41378,RF,1.0,1.0,1.0,3.0
42319,RF,0.0,0.0,0.0,3.0
42599,RF,0.0,0.0,0.0,2.0
45216,RF,1.0,1.0,1.0,5.0
47920,RF,1.0,1.0,1.0,2.0
49030,RF,1.0,1.0,1.0,5.0
51783,RF,1.0,1.0,1.0,2.0
54164,RF,1.0,1.0,1.0,3.0
