method,epoch,dataset,timestamp,train_loss,train_acc,train_acc_top5,train_f1_macro,train_prec_macro,train_rec_macro,train_acc_up,test_loss,test_acc,test_acc_top5,test_f1_macro,test_prec_macro,test_rec_macro,test_acc_up
OURS,26.0,MARC-generic,2020-07-05 20:36:55.634552,1.5832785176200455,0.8895558223289316,0.9747899159663865,0.8814273579328371,0.9011780234305293,0.8781589495184469,1.0,1.7994673124675094,0.6586206896551724,0.8310344827586207,0.5966138115330435,0.6341709096890443,0.6193560325684677,1.0
OURS,27.0,MARC-generic,2020-07-05 20:37:02.462655,1.4147428870916652,0.8943577430972389,0.9767907162865146,0.8847043691026851,0.9022604189870307,0.8830581918448014,1.0,1.7417119141282706,0.65,0.8413793103448276,0.5904587352773881,0.6219220330619295,0.6151616086849248,0.0
OURS,28.0,MARC-generic,2020-07-05 20:37:09.252027,1.4607127036224035,0.8931572629051621,0.9767907162865146,0.883078949394398,0.9050727241559696,0.8796413295746931,0.0,1.7550834651651053,0.656896551724138,0.8310344827586207,0.587186388740793,0.6207775385236525,0.6144707623982235,0.0
OURS,29.0,MARC-generic,2020-07-05 20:37:16.139532,1.473790992112482,0.8991596638655462,0.9799919967987195,0.8912802566791697,0.9095367600523729,0.8873813508628343,1.0,1.7281773517871726,0.6706896551724137,0.8413793103448276,0.6138586065525863,0.6450324862241961,0.6400320750061682,1.0
OURS,30.0,MARC-generic,2020-07-05 20:37:22.930549,1.3524103421075384,0.9059623849539816,0.9823929571828731,0.8989876676591047,0.9127462087423034,0.8968300813239375,1.0,1.6928181701693041,0.6706896551724137,0.8396551724137931,0.6125784980707261,0.6446562217287606,0.6350234394275844,0.0
OURS,31.0,MARC-generic,2020-07-05 20:37:29.759848,1.3360804685977707,0.912765106042417,0.9839935974389756,0.9073492505288934,0.9201250716841012,0.9046600306817377,1.0,1.6408875806578274,0.6810344827586207,0.8396551724137931,0.6231662171009931,0.6507499121488758,0.6491487786824574,1.0
OURS,32.0,MARC-generic,2020-07-05 20:37:36.621273,1.2847964783438017,0.9195678271308524,0.9839935974389756,0.9131855376218374,0.9248797964139482,0.9116934524198989,1.0,1.625145551870609,0.6775862068965517,0.8517241379310345,0.6201582240442344,0.6443868739205526,0.6486676535899334,0.0
OURS,33.0,MARC-generic,2020-07-05 20:37:43.521983,1.2572794877419047,0.9279711884753902,0.985594237695078,0.9225706660530715,0.9327582866569675,0.9215777597264861,1.0,1.6237960727050387,0.6810344827586207,0.8448275862068966,0.6250827756009103,0.653219837157661,0.6481495188749073,0.0
OURS,34.0,MARC-generic,2020-07-05 20:37:50.376432,1.2908937384386738,0.9307723089235694,0.9859943977591037,0.9268737993087722,0.9390385933671836,0.9234787680659599,1.0,1.6269113277566845,0.6879310344827586,0.8517241379310345,0.6334021933229491,0.6664713381034625,0.6503577596841845,1.0
OURS,35.0,MARC-generic,2020-07-05 20:37:57.219865,1.3080166262023303,0.9359743897559024,0.9871948779511804,0.932423537867323,0.9408983975030665,0.9303225077625285,1.0,1.6163387832970455,0.6896551724137931,0.853448275862069,0.6360600115576935,0.6652309549977943,0.6587712805329385,1.0
OURS,36.0,MARC-generic,2020-07-05 20:38:04.039465,1.29101945324486,0.9391756702681072,0.9847939175670268,0.9366185162998321,0.9454240114349511,0.9343644987376591,1.0,1.6317007130589978,0.6793103448275862,0.85,0.6288884978004149,0.6609507360802697,0.6459906242289661,0.0
OURS,37.0,MARC-generic,2020-07-05 20:38:10.979520,1.40258880632789,0.9399759903961584,0.9875950380152061,0.9362280869302199,0.9444770746676103,0.9353150377765138,1.0,1.6178662717342376,0.6879310344827586,0.8482758620689655,0.6375379082632968,0.6749403733859692,0.6543671354552184,0.0
OURS,38.0,MARC-generic,2020-07-05 20:38:17.851032,1.1244332365581349,0.9451780712284914,0.9895958383353342,0.9417499512546227,0.9497047385605182,0.9396040485056592,1.0,1.5088775338797733,0.696551724137931,0.8586206896551725,0.6451598200302863,0.6765071140718808,0.6638662718973599,1.0
OURS,39.0,MARC-generic,2020-07-05 20:38:24.589112,1.0784603363277914,0.947579031612645,0.9879951980792316,0.9440508304502797,0.951379725201089,0.9425367067369667,1.0,1.50012222425691,0.6879310344827586,0.85,0.6410974899112342,0.678924515323479,0.6568714532445102,0.0
OURS,40.0,MARC-generic,2020-07-05 20:38:31.400519,1.0421077005860329,0.943577430972389,0.9919967987194878,0.940338669079462,0.9467790819689719,0.9395702236958112,0.0,1.4999542600121991,0.6982758620689655,0.8568965517241379,0.6516466837710361,0.6857225100748418,0.6705156674068592,1.0
OURS,41.0,MARC-generic,2020-07-05 20:38:38.300150,1.075139476805508,0.9483793517406963,0.9895958383353342,0.9464462203825711,0.9527298280299009,0.9450733660093772,1.0,1.5062063097953797,0.6948275862068966,0.8568965517241379,0.6489734215122817,0.6864791512459905,0.6642610412040464,0.0
OURS,42.0,MARC-generic,2020-07-05 20:38:45.135179,1.0805389730393196,0.9523809523809523,0.9903961584633854,0.9506705220411593,0.9557562455599798,0.9498679094049569,1.0,1.5128280319016556,0.6862068965517242,0.8655172413793103,0.6343125498565914,0.6641335636154287,0.6557488280286208,0.0
OURS,43.0,MARC-generic,2020-07-05 20:38:52.038893,1.0832422565297635,0.957983193277311,0.9919967987194878,0.9564645542122286,0.9603806678322437,0.9567312368504239,1.0,1.4856343844841267,0.6948275862068966,0.8568965517241379,0.6485957335698268,0.681447898675878,0.6685294843325931,0.0
OURS,44.0,MARC-generic,2020-07-05 20:38:58.925233,1.012896692290121,0.9627851140456183,0.9915966386554622,0.9611608924209687,0.9649393678386363,0.9606045962975013,1.0,1.4730095670141024,0.6879310344827586,0.8655172413793103,0.6405403513145055,0.678503577596842,0.6573032321736985,0.0
OURS,45.0,MARC-generic,2020-07-05 20:39:05.683937,0.93568220482964,0.9631852741096438,0.992797118847539,0.9616630907666083,0.9654377208229933,0.9613772907032343,1.0,1.436436129438466,0.7,0.8551724137931035,0.6580230937743891,0.6973311949995888,0.6732790525536638,1.0
OURS,46.0,MARC-generic,2020-07-05 20:39:12.746894,0.9238208262812572,0.9635854341736695,0.9935974389755903,0.9628376631546326,0.9668095376349038,0.9621385117143791,1.0,1.4339219434507962,0.6982758620689655,0.8637931034482759,0.6497656919936712,0.6835122131754257,0.669824821120158,0.0
OURS,47.0,MARC-generic,2020-07-05 20:39:19.562710,0.9051714812686034,0.9651860744297719,0.9935974389755903,0.9642150829096127,0.9680767888428021,0.9638232349855089,1.0,1.4229849856475303,0.7034482758620689,0.8706896551724138,0.6589950687329534,0.6963422156427338,0.6743153219837158,1.0
