method,epoch,dataset,timestamp,train_loss,train_acc,train_acc_top5,train_f1_macro,train_prec_macro,train_rec_macro,train_acc_up,test_loss,test_acc,test_acc_top5,test_f1_macro,test_prec_macro,test_rec_macro,test_acc_up
OURS,24.0,MARC-geo_only,2020-07-06 01:08:25.941589,0.5044173868520017,0.970468675274988,0.9931850789096126,0.9664274974579855,0.9703859271139903,0.9656883373172445,1.0,0.36864785766333674,0.9486014821898159,0.986134353334927,0.9385899599198654,0.9489107891216325,0.939411525556104,0.0
OURS,25.0,MARC-geo_only,2020-07-06 01:09:06.013047,0.4960362868323844,0.9702893352462937,0.993065518890483,0.9662930879284674,0.9703962690772471,0.9659076872017074,0.0,0.35285292657374084,0.9509921109251733,0.9851781018407841,0.9403240216604218,0.9501537594423846,0.9421346558394751,1.0
OURS,26.0,MARC-geo_only,2020-07-06 01:09:46.049052,0.48099322720385806,0.971963175514108,0.993663318986131,0.9686754833083907,0.9719218800775922,0.9678964770584866,1.0,0.357425809448027,0.9502749223045661,0.9858952904613913,0.9415916482578627,0.9496780641137481,0.942362768868793,0.0
OURS,27.0,MARC-geo_only,2020-07-06 01:10:25.802185,0.49254554826525737,0.9729196556671449,0.9937828790052606,0.9695067330903917,0.9734597392248888,0.9685682530233588,1.0,0.35034620952098927,0.9548171169017452,0.9856562275878556,0.9460612826918754,0.9561438449992667,0.946356716688042,1.0
OURS,28.0,MARC-geo_only,2020-07-06 01:11:05.459770,0.4746615040079935,0.9745934959349594,0.9945002391200383,0.9712836248770529,0.9744910585852748,0.9704442005179059,1.0,0.3501913040705397,0.9533827396605307,0.9846999760937126,0.9446594168389744,0.953738324957412,0.9451718183645895,0.0
OURS,29.0,MARC-geo_only,2020-07-06 01:11:45.583444,0.45824351891098497,0.9760282161645146,0.9943208990913438,0.973535400238158,0.976318107540696,0.9726572348524606,1.0,0.34171318437547,0.9548171169017452,0.9868515419555343,0.9468621973819963,0.9558155031046598,0.9473066201981866,0.0
OURS,30.0,MARC-geo_only,2020-07-06 01:12:25.474671,0.4436879556809585,0.9759684361549498,0.9953969392635102,0.9727161015904765,0.9755725579987865,0.9722736792118306,0.0,0.3281677465297205,0.9560124312694238,0.986134353334927,0.9482318394116765,0.9576311257938697,0.9485282455161973,1.0
OURS,31.0,MARC-geo_only,2020-07-06 01:13:05.813399,0.4447489177023378,0.976207556193209,0.9950382592061214,0.9734021483201459,0.9764219861659489,0.9727169404638866,1.0,0.3538132706078621,0.9557733683958881,0.9854171647143198,0.9484864512596045,0.9602020726109186,0.9483330201703696,0.0
OURS,32.0,MARC-geo_only,2020-07-06 01:13:45.457514,0.44577400425528296,0.9757293161166906,0.995157819225251,0.9733269989459359,0.9761948450103912,0.972382938283803,0.0,0.3487498856762109,0.9550561797752809,0.9854171647143198,0.9479929513101184,0.9585214785180283,0.9474123322014888,0.0
OURS,33.0,MARC-geo_only,2020-07-06 01:14:25.249582,0.4405279743905161,0.9771640363462458,0.9954567192730751,0.974889407958057,0.977080555069473,0.9743669032713548,1.0,0.3459360380577978,0.9545780540282094,0.9863734162084629,0.9473600315755043,0.9581160701484102,0.9471506349518398,0.0
OURS,34.0,MARC-geo_only,2020-07-06 01:15:05.014561,0.44552210388087815,0.9787780966044954,0.9955762792922047,0.9758494812502965,0.9792677429683347,0.9753989418996049,1.0,0.32997124337021483,0.9557733683958881,0.9856562275878556,0.9467040957235787,0.954925505135556,0.9477288218252073,0.0
OURS,35.0,MARC-geo_only,2020-07-06 01:15:45.394258,0.4299784360292253,0.9785987565758011,0.9958751793400287,0.9761897107442344,0.978440660098677,0.9757274443906157,0.0,0.3233851311581858,0.9552952426488166,0.986134353334927,0.9471800591728775,0.9566129757679238,0.9479089573969093,0.0
OURS,36.0,MARC-geo_only,2020-07-06 01:16:25.221444,0.43384439508519296,0.9814084170253468,0.9962338593974175,0.9797449268894223,0.9819849745783765,0.978786565220546,1.0,0.32923251610608184,0.9560124312694238,0.9866124790819986,0.9487788881725863,0.9579857699029433,0.9492349685120771,0.0
OURS,37.0,MARC-geo_only,2020-07-06 01:17:04.824813,0.4201251044334948,0.9812290769966523,0.9962338593974175,0.9789902981162987,0.9817252678724225,0.9782503341491045,0.0,0.3236254895136683,0.9543389911546737,0.9866124790819986,0.9462770187897821,0.9555926202605023,0.9475066767235443,0.0
OURS,38.0,MARC-geo_only,2020-07-06 01:17:44.832313,0.41424966391509144,0.9807508369201339,0.9962936394069823,0.9788541102240623,0.981052705917614,0.9783649882190195,0.0,0.31736523688851204,0.9557733683958881,0.9870906048290701,0.9479264021950785,0.9576250779564033,0.9486460326821773,0.0
