method,epoch,dataset,timestamp,train_loss,train_acc,train_acc_top5,train_f1_macro,train_prec_macro,train_rec_macro,train_acc_up,test_loss,test_acc,test_acc_top5,test_f1_macro,test_prec_macro,test_rec_macro,test_acc_up
OURS,11.0,MARC-specific,2020-07-05 19:03:46.966649,0.421777028230736,0.9995801847187238,0.9995801847187238,0.9993497917301636,0.9994242947610823,0.9993523316062176,1.0,0.31828455569241276,0.9870875179340028,0.994261119081779,0.982457381421112,0.9841105354058722,0.9845793239575623,1.0
OURS,12.0,MARC-specific,2020-07-05 19:03:55.044400,0.34379488057093294,1.0,1.0,1.0,1.0,1.0,1.0,0.2724487669498712,0.9885222381635581,0.9956958393113343,0.9848301094415084,0.9861830742659758,0.9863064396743152,1.0
OURS,13.0,MARC-specific,2020-07-05 19:04:03.136777,0.28885822109471443,0.9995801847187238,1.0,0.9993497917301636,0.9994242947610823,0.9993523316062176,0.0,0.2527344244367936,0.9885222381635581,0.9956958393113343,0.9831317789867012,0.9838514680483592,0.9858746607451271,0.0
OURS,14.0,MARC-specific,2020-07-05 19:04:11.279098,0.26053157406229616,1.0,1.0,1.0,1.0,1.0,0.0,0.2284485432646709,0.9913916786226685,0.9956958393113343,0.9867116188359711,0.9864421416234888,0.9893288921786331,1.0
OURS,15.0,MARC-specific,2020-07-05 19:04:19.339856,0.2216846400654486,1.0,1.0,1.0,1.0,1.0,0.0,0.20160143742260325,0.9913916786226685,0.9956958393113343,0.9867116188359711,0.9864421416234888,0.9893288921786331,0.0
OURS,16.0,MARC-specific,2020-07-05 19:04:27.513980,0.19518173821927318,1.0,1.0,1.0,1.0,1.0,0.0,0.19308963683106464,0.9885222381635581,0.9971305595408895,0.9841471136807924,0.986121391561806,0.9858746607451271,0.0
OURS,17.0,MARC-specific,2020-07-05 19:04:35.697805,0.18173518895752583,1.0,1.0,1.0,1.0,1.0,0.0,0.18064598985005656,0.9885222381635581,0.9956958393113343,0.9836686054302635,0.9845423143350603,0.9863064396743152,0.0
OURS,18.0,MARC-specific,2020-07-05 19:04:43.862211,0.1620884839598618,1.0,1.0,1.0,1.0,1.0,0.0,0.17408104024966445,0.9899569583931134,0.9985652797704447,0.9849845031192181,0.9855785837651121,0.98760177646188,0.0
OURS,19.0,MARC-specific,2020-07-05 19:04:51.994772,0.14993726507792646,1.0,1.0,1.0,1.0,1.0,0.0,0.16452712008737594,0.9899569583931134,0.9971305595408895,0.9853957211470165,0.985405872193437,0.9880335553910683,0.0
OURS,20.0,MARC-specific,2020-07-05 19:05:00.264638,0.14560515011287756,1.0,1.0,1.0,1.0,1.0,0.0,0.16169379332999417,0.9885222381635581,0.9985652797704447,0.9842443106691812,0.9855785837651121,0.9863064396743152,0.0
